Storekey,Country,City,Total_Sales
57,United States,La Porte,2884.2899322509766
54,United States,Mineola,2883.079996109009
15,France,NOUMÉA,2882.8200211524963
0,United States,Manhattan,2882.739959716797
0,United States,Bronx,2882.499984741211
50,United States,New Orleans,2881.2600631713867
59,United States,Aloha,2880.129997253418
50,United States,Tulsa,2879.879928588867
15,France,RODEZ,2878.759979248047
0,Italy,Padergnone,2878.160035610199
56,United States,Los Angeles,2877.9999980926514
40,United Kingdom,AUCHGOURISH,2877.629928588867
0,United States,Poughkeepsie,2876.319987297058
55,United States,Essex Junction,2875.1099569797516
53,United States,Helena,2874.739999771118
33,Netherlands,Warfstermolen,2871.6499841213226
53,United States,Woburn,2871.5099754333496
57,United States,Tomball,2870.4300723075867
53,United States,Sacramento,2869.3199882507324
0,United States,Fort Madison,2869.050039291382
49,United States,Goldsboro,2868.309941291809
62,United States,Foxborough,2867.889967918396
20,Germany,Wahnwegen,2867.850076675415
47,United States,Grand Rapids,2866.940139770508
54,United States,Northampton,2866.3100605010986
27,Germany,Bad Rappenau,2863.880096435547
0,United States,Waco,2863.2599663734436
53,United States,Gast Glacier Park,2863.1699769496918
9,Canada,Kelowna,2862.5700130462646
41,United Kingdom,MIDDLEZOY,2861.4699172973633
65,United States,Blairsville,2858.1199588775635
0,Australia,East Point,2857.5599060058594
24,Germany,Lorch,2857.210100412369
21,Germany,Nürnberg,2856.8399381637573
39,United Kingdom,YATE,2856.0900497436523
50,United States,Oakley,2852.870053768158
26,Germany,Wörthsee,2850.24991607666
20,Germany,München,2849.529983520508
13,France,FRANCONVILLE-LA-GARENNE,2849.479934692383
47,United States,Frisco,2848.4399967193604
0,United States,Cypress,2846.9100074768066
0,United States,Sarasota,2846.279974460602
45,United States,Somerville,2845.309955596924
6,Australia,TAPPING,2843.3699383735657
64,United States,Silver Spring,2843.090051651001
50,United States,Rolla,2839.8500480651855
45,United States,Seattle,2838.5700635910034
0,United States,Kenton,2835.9099731445312
61,United States,Dublin,2835.5800399780273
51,United States,Jackson,2835.299997329712
6,Australia,HMAS WATSON,2834.699984073639
41,United Kingdom,COLINSBURGH,2834.4400634765625
39,United Kingdom,ASHFIELD,2832.0
20,Germany,Reutlingen Altenburg,2831.8300247192383
45,United States,Fort Worth,2830.139923095703
55,United States,Springfield,2829.780002593994
59,United States,Fort Worth,2826.560028076172
0,United States,Sedona,2825.5199699401855
29,Italy,Crociale,2825.4500274658203
10,Canada,Timmins,2824.709991455078
50,United States,Portage,2824.709991455078
66,United States,Herbertsville,2824.709991455078
56,United States,Golden Valley,2824.709991455078
55,United States,Cleveland,2824.709991455078
44,United States,Englewood,2822.0200519561768
43,United States,Bloomfield Township,2821.1299591064453
0,Germany,Niesky,2820.3400840759277
9,Canada,Fox Creek,2819.3599376678467
23,Germany,Ebermannstadt,2818.880012512207
39,United Kingdom,CURRY RIVEL,2814.5700302124023
61,United States,Greenwood,2814.1800174713135
9,Canada,Chicoutimi,2814.1399989128113
8,Canada,Winnipeg,2814.0600419044495
64,United States,Utica,2813.269962310791
10,Canada,Roseneath,2813.040054321289
0,Canada,Grassland,2812.8099994659424
56,United States,Torrance,2812.7399826049805
37,United Kingdom,NETHER STOWEY,2812.529947280884
42,United Kingdom,HILLWELL,2812.479965209961
51,United States,Hattiesburg,2812.069969177246
0,United States,Truxton,2811.919952392578
57,United States,Lansing,2811.390016555786
4,Australia,KANIMBLA,2811.050126552582
0,United States,Brattleboro,2810.6899557113647
45,United States,Wallingford,2810.14998626709
31,Netherlands,Eelde,2809.7400512695312
30,Italy,Camurana,2809.6299743652344
30,Italy,Villastellone,2807.9699172973633
24,Germany,Bebensee,2807.6800107955933
0,United States,New Stanton,2806.720027923584
49,United States,Biloxi,2805.830062866211
56,United States,Burbank,2805.390033721924
31,Netherlands,Breda,2805.100019454956
23,Germany,Lüdinghausen,2804.490068435669
0,United States,Winona,2804.0699968338013
30,Italy,San Martino Di Castrozza,2803.229925632477
57,United States,Oriskany Falls,2802.0199661254883
0,Canada,Surrey,2799.789996623993
8,Canada,Glenfinnan,2799.7199935913086
12,France,VILLENEUVE-SUR-LOT,2797.449996948242
53,United States,Salinas,2796.590001821518
29,Italy,Montegaldella,2796.5199813842773
29,Italy,Pietravairano,2796.460075378418
30,Italy,Cascinare,2796.290008544922
48,United States,Trenton,2795.5100824832916
5,Australia,YAMBUK,2793.170033454895
0,United Kingdom,ULCAT ROW,2790.970001220703
20,Germany,Böklund,2789.5000228881836
56,United States,Ontario,2788.3500299453735
48,United States,Rochelle Park,2787.8299894332886
48,United States,Youngstown,2787.409938812256
47,United States,Jackson,2786.8199577331543
12,France,ÉCHIROLLES,2785.400094985962
56,United States,Bloomfield Township,2783.9700775146484
27,Germany,Gelchsheim,2783.009925842285
51,United States,St Peters,2782.1899757385254
29,Italy,Osio Sopra,2780.9600524902344
26,Germany,Altenmoor,2778.9400267601013
40,United Kingdom,PRINCETOWN,2778.9300212860107
56,United States,Beaumont,2778.8399696350098
0,United States,Owatonna,2778.7699489593506
27,Germany,Belg,2778.6799154281616
57,United States,Centennial,2778.509994506836
59,United States,Farmland,2777.9900455474854
51,United States,Cambridge,2773.270043373108
26,Germany,Remscheid Innen,2773.169990539551
5,Australia,GREEN LAKE,2772.8400497436523
10,Canada,Belleterre,2772.729995727539
64,United States,Shelby,2770.9600105285645
0,Canada,Sidney,2770.860029220581
36,United Kingdom,KINGSAND,2768.9099912643433
66,United States,Casper,2768.6399941444397
65,United States,Concord,2767.5999660491943
34,Netherlands,Arnhem,2766.769964694977
51,United States,Moravia,2766.710029602051
42,United Kingdom,WEST BERGHOLT,2765.0099716186523
1,Australia,GUNYARRA,2764.9700317382812
8,Canada,Sherbrooke,2764.569968223572
0,United States,Grand Island,2761.5400047302246
50,United States,Rancho Cordova,2761.439971923828
5,Australia,MERLYNSTON,2760.8800501823425
0,Netherlands,Heiloo,2760.139959335327
21,Germany,Wörthsee,2759.9800567626953
56,United States,Goodman,2758.159914493561
0,United States,Hampton Bays,2757.760031223297
18,France,VILLEFRANCHE-SUR-SAÔNE,2757.6500282287598
47,United States,Reseda,2757.529987335205
55,United States,Richwood,2757.180000305176
63,United States,North Hollywood,2756.3999633789062
0,Australia,WALKERSTON,2755.309998989105
63,United States,N. Miami,2755.1400299072266
38,United Kingdom,ENOCHDU,2755.0699920654297
33,Netherlands,Grijpskerke,2754.5999145507812
64,United States,Milwaukee,2752.800018310547
61,United States,Texarkana,2752.4799585342407
45,United States,Philadelphia,2748.4700031280518
53,United States,Tremont,2747.479965209961
22,Germany,Kirburg,2746.2799530029297
59,United States,Woburn,2743.949984550476
10,Canada,Slocan,2743.880027770996
64,United States,Baltimore,2741.940037250519
0,Australia,BUSSELTON,2741.370002746582
43,United States,Forsyth,2741.2999968528748
30,Italy,Sant'Agabio,2740.730049133301
23,Germany,Würzburg,2740.3900265693665
56,United States,Bickleton,2740.320098876953
51,United States,Philadelphia,2739.390025138855
0,United States,Camillus,2734.849988937378
45,United States,Dallas,2733.420009613037
17,France,PERPIGNAN,2733.3999633789062
38,United Kingdom,THURNING,2732.919958114624
43,United States,San Diego,2732.2200317382812
63,United States,Ogden,2728.7300720214844
23,Germany,Filsen,2727.4200553894043
0,United States,Mansfield,2727.3299770355225
37,United Kingdom,BALNESPICK,2727.020065307617
63,United States,Maryville,2726.730013847351
38,United Kingdom,OLD BEWICK,2724.600037097931
0,Australia,DOUBLE BAY,2724.0600051879883
0,United Kingdom,REDISHAM,2723.8200302124023
43,United States,Fairbanks,2723.0900144577026
27,Germany,Blankenburg,2722.4399852752686
22,Germany,Altenburg,2720.5900840759277
40,United Kingdom,SOUTH WIDCOMBE,2720.200023651123
55,United States,Winter Haven,2718.910110473633
66,United States,Philadelphia,2718.8299865722656
51,United States,Eagleville,2718.6800746917725
47,United States,Jordan,2718.6000366210938
57,United States,Carlsbad,2718.479965209961
0,Germany,Hohenkammer,2716.600009918213
8,Canada,Bindloss,2715.2800903320312
65,United States,Asheville,2714.140007019043
63,United States,Chicago,2712.8700218200684
37,United Kingdom,DUNTISH,2712.27001953125
48,United States,Memphis,2711.7900099754333
64,United States,Tomball,2710.6599617004395
18,France,WATTRELOS,2710.0900678634644
48,United States,Burbank,2709.9500188827515
1,Australia,TWEED HEADS SOUTH,2709.4799880981445
38,United Kingdom,WALKERTON,2708.9700317382812
61,United States,Atoka,2708.790014266968
10,Canada,Huntsville,2706.9400086402893
0,France,VILLENEUVE-D'ASCQ,2705.859902381897
0,Italy,Lamezia Terme,2705.7100219726562
33,Netherlands,Ede,2705.180030822754
54,United States,Lenexa,2704.9999256134033
30,Italy,Bellombra,2704.3799879550934
8,Canada,Timmins,2704.0899543762207
39,United Kingdom,BRANSGORE,2703.949981689453
0,Germany,Bad Harzburg,2703.0599727630615
45,United States,Milford,2700.609996318817
5,Australia,FORBES,2699.619978427887
65,United States,Asheboro,2699.489906311035
24,Germany,Fürth,2699.129961013794
50,United States,Chicago,2698.9399242401123
56,United States,East Lansing,2698.760040283203
61,United States,Camden,2698.420000076294
17,France,BORDEAUX,2698.1200561523438
56,United States,Washington,2696.160026550293
32,Netherlands,Utrecht,2695.7499647140503
21,Germany,Norderstedt,2694.1099395751953
28,Italy,Sticciano Stazione,2693.799982070923
45,United States,Akron,2692.9199829101562
59,United States,Hattiesburg,2692.8099689483643
56,United States,Corpus Christi,2692.090033054352
64,United States,Southfield,2692.0300040245056
59,United States,Seattle,2691.5400190353394
0,Germany,Ringstedt,2691.5399973392487
9,Canada,Langley,2691.129997253418
65,United States,St James,2691.0000076293945
0,United States,Bessemer,2690.039934158325
59,United States,Lyons,2688.0799691677094
37,United Kingdom,POPE HILL,2685.2999744415283
0,Germany,Holtsee,2685.199960708618
9,Canada,Sherbrooke,2684.889923095703
27,Germany,Klein Offenseth-Sparries,2684.8300313949585
56,United States,West Palm Beach,2682.78009223938
0,United States,Wahiawa,2681.619972229004
19,Germany,Nürnberg,2681.0200119018555
62,United States,New Brunswick,2680.660029888153
53,United States,Pensacola,2680.2399044036865
38,United Kingdom,CHESELBOURNE,2680.1099548339844
19,Germany,Dietersheim,2679.4599771499634
64,United States,Dagsboro,2678.870012283325
0,Germany,Kranzberg,2678.8399772644043
62,United States,Easton,2677.279960632324
56,United States,Columbia,2676.629997253418
59,United States,Dayton,2674.5800042152405
63,United States,Ephraim,2674.2399616241455
44,United States,Lake City,2674.0499844551086
23,Germany,Mömlingen,2673.909999847412
57,United States,Louisville,2671.4400329589844
49,United States,Oakland,2669.330041885376
9,Canada,Woodbridge,2669.240068912506
4,Australia,Golden Valley,2669.200019836426
47,United States,Pleasanton,2668.570020675659
51,United States,West Nyack,2667.2600078582764
0,United States,Woodland Hills,2665.889919281006
0,United States,Kerrville,2665.4600524902344
0,France,ERMONT,2663.9900007247925
4,Australia,EAST LAUNCESTON,2661.799903869629
64,United States,Garden City,2661.019926071167
64,United States,Hawkinsville,2660.2399291992188
54,United States,Norcross,2659.7999420166016
38,United Kingdom,NETHER STOWEY,2658.4100036621094
59,United States,Newark,2657.4900007247925
47,United States,Augusta,2656.199920654297
0,United Kingdom,KIRK ELLA,2656.1599502563477
34,Netherlands,Dordrecht,2654.2200241088867
61,United States,Washington,2653.570037841797
64,United States,Worthington,2653.5600168704987
0,United States,Leeds,2653.519992828369
29,Italy,Moimacco,2653.4800276756287
37,United Kingdom,COVE,2652.229995727539
19,Germany,Berlin Schöneberg,2652.1599884033203
0,Italy,Robegano,2651.819948196411
63,United States,Bear River City,2650.649962425232
66,United States,Seattle,2648.570076942444
5,Australia,BRINDABELLA,2647.3699350357056
33,Netherlands,Oldenzaal,2647.3500213623047
0,United States,Lynchburg,2647.0899982452393
18,France,CHALON-SUR-SAÔNE,2646.5899963378906
0,United States,Roger Mills,2645.5600209236145
38,United Kingdom,DOWNEND,2645.280029296875
65,United States,Davenport,2644.5499114990234
63,United States,Orem,2644.000030517578
54,United States,Indianapolis,2643.290012359619
8,Canada,Thornhill,2643.2399632930756
34,Netherlands,Hoogerheide,2642.8799438476562
50,United States,Republic,2642.769994735718
8,Canada,Musquodoboit Harbour,2641.849920272827
43,United States,Crafton,2641.570026397705
8,Canada,Hespeler,2640.800085067749
42,United Kingdom,EDINBURGH,2640.6299476623535
0,Australia,KIALLA,2640.119993209839
57,United States,Natick,2639.8400688171387
0,United States,Ft Lauderdale,2639.68998003006
53,United States,Birmingham,2639.1900939941406
44,United States,Stone,2638.7899284362793
0,Germany,Kiel,2638.7399759292603
66,United States,Marlboro,2638.6499514579773
40,United Kingdom,KIRKIBOST,2638.3799362182617
29,Italy,Sant'Elia,2637.7900314331055
50,United States,Lansing,2637.650146484375
63,United States,Birmingham,2637.1099815368652
47,United States,Elmsford,2636.5600390434265
43,United States,West Roxbury,2635.9799194335938
19,Germany,Dettingen,2634.2000160217285
32,Netherlands,Den Helder,2633.7199964523315
50,United States,Albany,2632.6199951171875
16,France,PALAISEAU,2632.120018005371
29,Italy,Ospedaletto Di Gemona,2631.159927368164
22,Germany,München,2631.1299619674683
0,Australia,NUNGURNER,2630.1800208091736
59,United States,El Toro,2629.4699788093567
23,Germany,Stuttgart Feuerbach,2629.279998779297
0,United States,West Nyack,2628.8199462890625
5,Australia,WATTLE HILL,2628.7499923706055
59,United States,Walla Walla,2628.5300312042236
4,Australia,MORISSET,2628.290023803711
0,United Kingdom,FULLETBY,2627.219985961914
10,Canada,Chilliwack,2623.6999530792236
64,United States,Nicholasville,2623.2900218963623
15,France,THIONVILLE,2621.000012397766
0,United Kingdom,BELTON,2620.969997406006
44,United States,Crowley Lake,2620.8200149536133
9,Canada,Surrey,2618.8400440216064
0,United Kingdom,GRAVELEY,2618.129949569702
6,Australia,KUDARDUP,2617.7200498580933
16,France,VANVES,2617.3599395751953
0,United States,Metairie,2616.099947452545
13,France,DOUAI,2615.120021343231
0,Germany,Remchingen,2614.9399452209473
39,United Kingdom,STAINFORTH,2614.7400131225586
24,Germany,Neu-Ulm,2614.5399856567383
64,United States,Greensboro,2614.4600324630737
0,United States,Annapolis,2614.140012741089
21,Germany,Stadtbergen,2613.749954223633
47,United States,Pahala,2611.909996032715
59,United States,Whitehouse,2611.8600463867188
59,United States,Columbus,2611.8099670410156
44,United States,Jacksonville,2611.800048828125
40,United Kingdom,BREDON,2610.040008544922
0,France,MARSEILLE,2609.939969062805
0,United States,Norwalk,2609.309970855713
63,United States,Bayside,2608.069999217987
42,United Kingdom,STOKE RIVERS,2607.069944381714
44,United States,Westerville,2606.1799697875977
57,United States,Dulles,2604.7900161743164
39,United Kingdom,WEST CAIRNCAKE,2604.7500076293945
55,United States,Chappaqua,2603.9900970458984
0,United States,Wahpeton,2598.780014038086
50,United States,Sioux City,2597.360019683838
47,United States,Cliffside Park,2596.809959411621
65,United States,Orlando,2596.790023803711
0,Canada,Grande Cache,2596.149993419647
9,Canada,Kitchener,2595.9599609375
56,United States,Brooklyn,2594.2200412750244
44,United States,Hackensack,2593.660068511963
6,Australia,WAROONA,2593.5399684906006
38,United Kingdom,APPLEBY MAGNA,2592.990020751953
6,Australia,CAMOOWEAL,2591.900037765503
18,France,PÉRIGUEUX,2591.7299785614014
0,United States,Freehold,2589.510025024414
40,United Kingdom,COMPTON PAUNCEFOOT,2589.210024833679
48,United States,Charlotte,2588.8200130462646
4,Australia,AVENELL HEIGHTS,2588.390015602112
51,United States,Camden,2588.179977416992
42,United Kingdom,TERRINGTON,2586.9599533081055
65,United States,Oklahoma City,2586.899977207184
65,United States,Laporte,2586.6799688339233
0,United Kingdom,BODHAM STREET,2586.10990524292
62,United States,Green Bay,2584.759967803955
19,Germany,Berlin Marzahn,2584.4500122070312
22,Germany,Oberhof,2583.9900331497192
36,United Kingdom,THORNSETT,2583.9700236320496
54,United States,San Jose,2583.820001602173
0,United States,Mechanicsburg,2583.7599124908447
54,United States,Grand Rapids,2583.0300245285034
29,Italy,Giammoro,2582.280029296875
37,United Kingdom,ALVERSTONE,2581.900022506714
38,United Kingdom,TICKLERTON,2581.5599365234375
50,United States,Lexington,2581.220048904419
54,United States,Greenfield,2580.5900592803955
0,United Kingdom,DALABROG,2577.789939880371
38,United Kingdom,BETTWS-Y-CRWYN,2576.2200651168823
0,United States,Johnson City,2576.1699624061584
8,Canada,Grande Prairie,2575.4499492645264
50,United States,Sheboygan,2575.3699951171875
45,United States,Columbia,2575.0800194740295
28,Italy,Mezzojuso,2573.5599822998047
39,United Kingdom,HOWE,2572.6600189208984
10,Canada,Bragg Creek,2572.4700775146484
44,United States,Tulsa,2572.2099285125732
54,United States,Scottsbluff,2571.9899768829346
51,United States,Fort Lauderdale,2571.9300899505615
53,United States,Lumberton,2571.840072631836
8,Canada,Irricana,2568.39990234375
29,Italy,Sant'Agata Mugello,2567.979959487915
65,United States,West Nyack,2565.99995803833
59,United States,Seymour,2565.109992980957
26,Germany,Würzburg,2564.2600593566895
47,United States,Cibicue,2563.739990234375
44,United States,Hughes,2562.8599977493286
61,United States,Aberdeen,2562.3300008773804
43,United States,Appleton,2561.840005874634
0,Canada,London,2561.1099483966827
0,United States,York,2561.090097427368
54,United States,Kenner,2559.6300506591797
47,United States,Charlotte,2559.5600566864014
49,United States,St Peters,2558.8499488830566
44,United States,Huntsville,2558.6800079345703
5,Australia,BOUNDARY BEND,2557.780086517334
36,United Kingdom,REINIGEADAL,2557.7699871063232
56,United States,Vancouver,2557.0299530029297
10,Canada,Niagara Falls,2555.179962158203
45,United States,Torrington,2554.8799800872803
50,United States,Plymouth,2554.1699962615967
55,United States,Juda,2552.479962348938
50,United States,Fayetteville,2552.259925842285
15,France,TOURCOING,2551.8199157714844
49,United States,Westerville,2551.329963684082
51,United States,Westbrook,2550.9399948120117
47,United States,Cambridge,2550.930000305176
63,United States,Miami,2549.380036830902
59,United States,Memphis,2549.10001373291
0,Australia,WANGANUI,2548.8999938964844
26,Germany,Auderath,2548.7799701690674
10,Canada,Kelowna,2548.4000391960144
47,United States,Akron,2548.289936065674
10,Canada,Red Deer,2547.7099843025208
42,United Kingdom,PANT-LASAU,2547.300048828125
19,Germany,Schwaigen,2547.160068511963
42,United Kingdom,LLANABER,2546.25
0,United States,Porter,2546.25
44,United States,Franklin,2545.419946670532
21,Germany,Dresden,2544.079939842224
24,Germany,Bad Füssing,2543.4999618530273
57,United States,Norcross,2543.3299407958984
9,Canada,Kensington,2543.1499633789062
0,United Kingdom,DOWNHEAD,2541.219955444336
29,Italy,San Biagio Di Callalta,2540.6699028015137
65,United States,Charles Town,2540.1200197935104
24,Germany,Koblenz Vorstadt,2539.9300365448
59,United States,O Fallon,2539.650005340576
8,Canada,Avonmore,2539.3700885772705
53,United States,Santa Fe Springs,2539.260040283203
36,United Kingdom,CALVER HILL,2539.100076675415
4,Australia,TABLE CAPE,2538.879981994629
55,United States,Acton,2538.8400268554688
40,United Kingdom,LOWER PENN,2537.7200598716736
24,Germany,Darmstadt,2537.019992351532
0,United States,Edgerton,2536.430076599121
0,Canada,Gorrie,2536.3999786376953
43,United States,Greenfield,2535.3299808502197
65,United States,Golden,2534.9800415039062
0,Germany,Marktredwitz,2534.040044784546
65,United States,Austin,2533.969964981079
63,United States,Garden City,2533.929962158203
0,United States,Clute,2533.730052947998
50,United States,Gays,2532.7999687194824
26,Germany,München,2530.2200026512146
47,United States,Fries,2529.5200576782227
37,United Kingdom,SUTTON ON THE HILL,2529.250030517578
36,United Kingdom,LOWICK,2529.250030517578
0,United Kingdom,BAGSTONE,2528.849937438965
36,United Kingdom,LOWER TEAN,2528.2000131607056
50,United States,Mc Kinney,2526.310012817383
59,United States,Laredo,2526.1499557495117
19,Germany,Berlin Hellersdorf,2525.959991455078
13,France,SAINT-MICHEL-SUR-ORGE,2525.4399161338806
24,Germany,Nomborn,2524.330105304718
65,United States,Lewisburg,2523.3100147247314
0,United States,Overland Park,2521.580023765564
49,United States,Plymouth,2521.140048980713
18,France,DEUIL-LA-BARRE,2520.559989929199
43,United States,Warrensburg,2520.2800283432007
0,Italy,Sessano Del Molise,2519.9300689697266
51,United States,Berlin,2519.2600655555725
56,United States,Rindge,2518.4699878692627
0,Italy,Sant'Antonino Convento,2518.4100193977356
37,United Kingdom,LEITH,2518.349977493286
40,United Kingdom,GRANTCHESTER,2518.0499963760376
5,Australia,MELAWONDI,2516.840021133423
65,United States,Madison,2516.43994140625
45,United States,Cleveland,2515.0099868774414
0,United States,Pekin,2514.7600708007812
54,United States,Troy,2514.7399368286133
38,United Kingdom,SHADINGFIELD,2514.3499755859375
56,United States,Reston,2513.1599197387695
56,United States,Pittsburgh,2513.1199736595154
0,Canada,Bonaventure,2512.7000274658203
8,Canada,Brantford,2512.439944267273
47,United States,Chattanooga,2510.969955444336
19,Germany,Margetshöchheim,2510.960060119629
44,United States,Anaheim,2510.040008544922
42,United Kingdom,CHALE GREEN,2509.460090637207
43,United States,Ontario,2508.5499291419983
66,United States,Royce Cityt,2508.090087890625
51,United States,Red Bank,2507.36003780365
21,Germany,Solingen Solingen-Mitte,2504.420000076294
61,United States,Northbrook,2504.07999420166
47,United States,Lock Haven,2503.789996623993
33,Netherlands,Munstergeleen,2502.60995388031
50,United States,Elizabethtown,2501.0700492858887
48,United States,Salt Lake City,2500.499969482422
47,United States,Chicago,2499.9100036621094
0,United States,Spokane,2499.429956436157
53,United States,Lovell,2498.5200242996216
27,Germany,Kemberg,2498.4000182151794
44,United States,San Antonio,2498.3300409317017
0,Canada,Wolfe Island,2498.1499938964844
22,Germany,Wuppertal Elberfeld,2498.120017051697
53,United States,Peoria,2495.0300102233887
43,United States,Chicago,2494.01003074646
27,Germany,Melbeck,2491.0799236297607
48,United States,Southfield,2489.6499767303467
45,United States,Anniston,2489.199935913086
42,United Kingdom,AUCH,2489.149932861328
36,United Kingdom,EAST WALTON,2488.289939880371
49,United States,Oviedo,2487.9999599456787
45,United States,Armonk Village,2487.6299724578857
29,Italy,Epinel,2486.2900161743164
30,Italy,Tolentino,2482.2699642181396
0,United Kingdom,INGON,2481.9300079345703
29,Italy,Besenzone,2481.880021095276
49,United States,Philadelphia,2481.5699253082275
37,United Kingdom,CHEBSEY,2481.520004272461
57,United States,Freeport,2480.5200805664062
59,United States,Reston,2480.160026550293
47,United States,Collingswood,2478.919906139374
21,Germany,Katzenbach,2478.5199880599976
49,United States,Saint Louis,2478.4000549316406
0,United States,Madisonville,2477.870059967041
40,United Kingdom,WEST BERGHOLT,2477.8600511550903
49,United States,Albany,2476.370018005371
38,United Kingdom,MILE END,2475.939962387085
9,Canada,Campbellford,2474.89999461174
47,United States,Kokomo,2472.33992767334
9,Canada,Oliver,2472.2400226593018
0,United States,Murfreesboro,2469.889986038208
65,United States,Nashville,2469.3299102783203
0,United States,Rochelle Park,2468.229952812195
15,France,LOOS,2467.0199432373047
21,Germany,Hildesheim,2466.6300354003906
0,United States,Buffalo Grove,2464.8899841308594
34,Netherlands,Heemstede,2464.749931335449
51,United States,Elsie,2461.8999938964844
0,United States,Grove City,2461.8700337409973
20,Germany,Schwebheim,2461.3400382995605
38,United Kingdom,ODSTOCK,2460.6300315856934
0,United Kingdom,DRYMUIR,2460.009963989258
51,United States,Grand Rapids,2459.8400201797485
66,United States,Kissimmee,2458.5800170898438
49,United States,Houlton,2455.179962158203
0,United Kingdom,WESTON UNDER PENYARD,2454.4500312805176
29,Italy,Pera Di Fassa,2451.77001953125
0,Germany,Kükels,2451.610034942627
49,United States,Miami,2450.9800157546997
37,United Kingdom,Springfield,2449.340014219284
0,United States,Cypress Springs,2448.8300247192383
33,Netherlands,Barendrecht,2447.4800882339478
0,Germany,Bad Vilbel,2447.4199724197388
66,United States,Adairsville,2447.400026321411
54,United States,Oakland,2446.4599800109863
0,United States,Washta,2446.449905872345
49,United States,Sergeant Bluff,2446.209997177124
48,United States,Dallas,2445.8599195480347
23,Germany,Burbach,2445.7099940776825
56,United States,Chickasha,2445.560024023056
66,United States,Steele,2445.469988822937
31,Netherlands,Coevorden,2444.970012664795
55,United States,Rancho Cordova,2444.9200694561005
38,United Kingdom,INGLESHAM,2444.870071411133
0,United States,Hackensack,2444.8700037002563
4,Australia,PINNACLES,2444.5699310302734
29,Italy,Castellazzo,2444.299999475479
36,United Kingdom,RHANDIRMWYN,2443.140064239502
36,United Kingdom,ONSLOW VILLAGE,2442.6000366210938
63,United States,Tallahassee,2442.4499464035034
45,United States,Rolla,2441.0400228500366
4,Australia,MARLO MERRICAN,2440.01997756958
29,Italy,Bagnoli,2440.0199575424194
45,United States,Chula Vista,2439.7700271606445
6,Australia,Oakhurst,2438.8499393463135
40,United Kingdom,ODDINGTON,2438.4799633026123
0,Germany,Geratskirchen,2438.1999311447144
40,United Kingdom,FERNHILL HEATH,2437.589958190918
0,United Kingdom,EVERLEIGH,2437.3499660491943
33,Netherlands,Zwolle,2437.2400102615356
31,Netherlands,Hoogblokland,2436.7499923706055
54,United States,Parksley,2436.3699169158936
1,Australia,ST GEORGES BASIN,2435.840087890625
56,United States,Menasha,2435.840087890625
0,United States,Alamogordo,2435.840087890625
51,United States,Hanover,2435.840087890625
55,United States,Chicago,2435.7000086307526
36,United Kingdom,BLAIRHULLICHAN,2435.5599822998047
12,France,DENAIN,2434.400062561035
61,United States,San Angelo,2434.2000007629395
15,France,TORCY,2433.490001678467
0,United States,Port Huron,2433.469997406006
39,United Kingdom,DOWNHEAD,2433.2999839782715
0,United States,Appleton,2431.9000177383423
0,United States,Savage,2431.7699279785156
0,United States,Diamond Lake,2431.4399814605713
37,United Kingdom,NEWBIGGING,2431.0899789333344
0,United States,Bakersfield,2429.4899883270264
0,United States,Golden Valley,2429.379922389984
12,France,NOUMÉA,2426.809992790222
66,United States,Pittsburgh,2424.7699823379517
32,Netherlands,Alphen aan den Rijn,2424.489963531494
38,United Kingdom,WERVIN,2424.0900440216064
0,United States,Westbury,2422.930055618286
24,Germany,Würzburg,2420.3299856185913
0,United States,Maple Shade,2418.2400159835815
45,United States,Moreno Valley,2417.550009250641
0,United Kingdom,ROSEWELL,2417.3901047706604
0,Australia,WAANYARRA,2417.2200202941895
61,United States,Austin,2417.0499114990234
54,United States,Walnut Creek,2416.8999786376953
39,United Kingdom,BARMER,2416.3200178146362
45,United States,Sperryville,2416.0001220703125
63,United States,Grand Rapids,2415.9699993133545
66,United States,Arlington,2415.280038833618
54,United States,Steamboat Springs,2414.0800552368164
63,United States,San Angelo,2413.6499404907227
47,United States,Cleburne,2413.630012512207
39,United Kingdom,SNETTERTON,2412.249973297119
26,Germany,Düsseldorf Niederkassel,2411.4399948120117
32,Netherlands,Dronten,2411.2700028419495
57,United States,Anaheim,2409.860040664673
0,United States,Lubbock,2409.859990119934
51,United States,Fort Myers,2409.4500036239624
66,United States,Riverton,2409.239963531494
36,United Kingdom,CARNOCK,2407.810079097748
45,United States,Bethesda,2407.249954223633
8,Canada,Creelman,2406.9799947738647
5,Australia,TOORAK,2405.9800271987915
0,Netherlands,Almere,2405.890009880066
6,Australia,WOORREE,2405.5599365234375
0,United Kingdom,STONEHOUSE,2405.0699977874756
43,United States,Sacramento,2404.9799728393555
36,United Kingdom,GISBURN,2404.7299423217773
36,United Kingdom,KILVERSTONE,2404.5799572467804
0,Canada,Cochrane,2404.480031967163
59,United States,Harvester,2404.4700298309326
34,Netherlands,Stedum,2403.5799808502197
47,United States,Clarksburg,2403.340042114258
65,United States,Lock Haven,2403.2000274658203
0,Canada,Brantford,2400.770001411438
64,United States,Waxahachie,2400.280016899109
62,United States,Interior,2400.120002746582
59,United States,Orange Beach,2399.550024032593
54,United States,Stlouis,2399.1099557876587
10,Canada,Brockville,2399.029960632324
41,United Kingdom,HIGH KILBURN,2398.5699405670166
62,United States,Philadelphia,2398.5000426769257
65,United States,Atlanta,2397.460039138794
0,Italy,Teglia,2396.680027246475
